epoch,accuracy,dice_coef,learning_rate,loss,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.7499487400054932,0.1263768970966339,0.0010000000474974513,1.386627435684204,0.4054006040096283,0.24102327227592468,0.11667615175247192,0.9725381731987,0.9866071939468384,0.174026757478714,0.7849852442741394,0.3754674792289734,0.9692248702049255,0.42604222893714905,0.9955263733863831
1,0.9877607226371765,0.22669263184070587,0.0010000000474974513,0.4817966818809509,0.4435299038887024,0.9869555234909058,0.9078332185745239,0.995918869972229,0.9866071343421936,0.2418140172958374,0.1955721229314804,0.37550804018974304,0.9865420460700989,0.982121467590332,0.9955341219902039
2,0.990614116191864,0.24774518609046936,0.0010000000474974513,0.10536839812994003,0.37532132863998413,0.9906021952629089,0.9896861910820007,0.996870219707489,0.9866071343421936,0.2556282877922058,0.07432558387517929,0.37546753883361816,0.9865868091583252,0.9863663911819458,0.9955335259437561
3,0.9858916401863098,0.2603117823600769,0.0010000000474974513,0.07839612662792206,0.3894007205963135,0.9857962727546692,0.9856244325637817,0.9952818751335144,0.9866071343421936,0.2606319785118103,0.07053740322589874,0.5344424843788147,0.9865633845329285,0.9865232110023499,0.9955273270606995
4,0.9897680282592773,0.26214081048965454,0.0010000000474974513,0.0565589964389801,0.3902832567691803,0.9896934628486633,0.9896623492240906,0.9965764880180359,0.986607015132904,0.26449742913246155,0.06701448559761047,0.37546753883361816,0.9865274429321289,0.9865477085113525,0.9955188632011414
5,0.9886946678161621,0.26491180062294006,0.0010000000474974513,0.0564207062125206,0.4700465798377991,0.9886089563369751,0.9886285066604614,0.9962164759635925,0.9866071343421936,0.2681660056114197,0.06284868717193604,0.375467449426651,0.9864692687988281,0.9864897727966309,0.9955165982246399
6,0.9849648475646973,0.2677564322948456,0.0010000000474974513,0.06716616451740265,0.3754845857620239,0.9848690032958984,0.984889030456543,0.9949744343757629,0.986607015132904,0.26906582713127136,0.0616922564804554,0.37546753883361816,0.9864955544471741,0.9865158796310425,0.9955121874809265
7,0.9844201803207397,0.2756391167640686,0.0010000000474974513,0.06837896257638931,0.44371551275253296,0.9842596054077148,0.984278678894043,0.9947721362113953,0.9866071343421936,0.2663275897502899,0.06992065906524658,0.7042074203491211,0.9865249395370483,0.9865449666976929,0.995518147945404
8,0.984505295753479,0.27386072278022766,0.0010000000474974513,0.06863292306661606,0.4094669222831726,0.9843021631240845,0.9843248128890991,0.9947915077209473,0.9866071939468384,0.2662619352340698,0.062364667654037476,0.37546753883361816,0.9865476489067078,0.986568033695221,0.9955249428749084
9,0.9861348867416382,0.26933085918426514,0.00020000000949949026,0.062497179955244064,0.3761064410209656,0.9860583543777466,0.9860802888870239,0.9953651428222656,0.986607015132904,0.2717125713825226,0.06007964536547661,0.3754675090312958,0.9864717721939087,0.9864920377731323,0.995511531829834
10,0.9863804578781128,0.2749556601047516,0.00020000000949949026,0.05956735089421272,0.37549811601638794,0.9862200021743774,0.9862459301948547,0.9954301714897156,0.986607015132904,0.2699829936027527,0.05961059406399727,0.37546753883361816,0.9865102171897888,0.9865300059318542,0.995518684387207
11,0.9881070256233215,0.27307480573654175,0.00020000000949949026,0.04756858944892883,0.3753937780857086,0.9880102276802063,0.9880212545394897,0.9960229992866516,0.986607015132904,0.26897722482681274,0.05971577391028404,0.3754674792289734,0.9865261912345886,0.986546516418457,0.9955209493637085
12,0.9882753491401672,0.27019748091697693,0.00020000000949949026,0.050727080553770065,0.3754091262817383,0.9882076382637024,0.9882237315177917,0.9960809946060181,0.9866073131561279,0.2727483808994293,0.05948980897665024,0.37546753883361816,0.9864617586135864,0.9864820241928101,0.9955074191093445
13,0.9865549206733704,0.27063286304473877,0.00020000000949949026,0.05916696786880493,0.3754481077194214,0.9864621162414551,0.9864798784255981,0.9955002665519714,0.9866071343421936,0.2743670344352722,0.06069625914096832,0.3754674792289734,0.9864254593849182,0.9864457845687866,0.9955002069473267
14,0.9865069389343262,0.27073314785957336,0.00020000000949949026,0.060594309121370316,0.37549400329589844,0.9863902926445007,0.986415684223175,0.9954712986946106,0.986607015132904,0.27007466554641724,0.05918728932738304,0.37546753883361816,0.9865229725837708,0.9865434765815735,0.9955192804336548
15,0.9842775464057922,0.2708762288093567,0.00020000000949949026,0.06767101585865021,0.37547990679740906,0.984148383140564,0.984174907207489,0.9947346448898315,0.9866071343421936,0.27415892481803894,0.0588330514729023,0.37546753883361816,0.9864524602890015,0.986472487449646,0.9955064058303833
16,0.9862761497497559,0.27533331513404846,0.00020000000949949026,0.062229812145233154,0.37549906969070435,0.9860910177230835,0.986112117767334,0.9953800439834595,0.9866071939468384,0.2677499055862427,0.05867637321352959,0.4294898509979248,0.9865434765815735,0.986563503742218,0.9955288767814636
17,0.9903919100761414,0.2650161385536194,0.00020000000949949026,0.042880576103925705,0.49814772605895996,0.9903564453125,0.9903712272644043,0.9967931509017944,0.9866071939468384,0.2653226852416992,0.05992068350315094,0.37546810507774353,0.9865682721138,0.9865885376930237,0.9955313205718994
18,0.9850532412528992,0.27227798104286194,0.00020000000949949026,0.06201319769024849,0.3755022883415222,0.984920859336853,0.9849420785903931,0.994996190071106,0.9866071939468384,0.2734627425670624,0.0580618754029274,0.3754675090312958,0.9864712357521057,0.9864914417266846,0.9955116510391235
19,0.9830350875854492,0.28251221776008606,0.00020000000949949026,0.063047394156456,0.37554284930229187,0.9828366041183472,0.982857346534729,0.994306206703186,0.9866068959236145,0.27427077293395996,0.05781620368361473,0.37546753883361816,0.9864760637283325,0.9864965081214905,0.9955113530158997
20,0.987430214881897,0.277434766292572,0.00020000000949949026,0.05238554999232292,0.3754308521747589,0.9872726202011108,0.9872938394546509,0.9957770109176636,0.9866071343421936,0.2724321782588959,0.05824848264455795,0.5101863741874695,0.9865149259567261,0.9865351319313049,0.9955177307128906
21,0.9829904437065125,0.274355947971344,0.00020000000949949026,0.06573180854320526,0.5631852149963379,0.9828969836235046,0.982915997505188,0.9943100810050964,0.986607015132904,0.27502191066741943,0.05767009034752846,0.37546753883361816,0.9864693880081177,0.9864900708198547,0.9955087900161743
22,0.9863090515136719,0.2737789750099182,0.00020000000949949026,0.05835970118641853,0.3754115402698517,0.9861392974853516,0.9861539006233215,0.9954019784927368,0.9866071343421936,0.2756499946117401,0.05816315859556198,0.37546753883361816,0.9864361882209778,0.9864565134048462,0.995503306388855
23,0.9849268198013306,0.2754454016685486,0.00020000000949949026,0.061875730752944946,0.3763135075569153,0.9848033785820007,0.9848251342773438,0.9949547052383423,0.9866071343421936,0.27254050970077515,0.05683233216404915,0.3818848729133606,0.9865120649337769,0.9865319728851318,0.9955196976661682
24,0.9824577569961548,0.2928163409233093,0.00020000000949949026,0.06241331622004509,0.379668653011322,0.9822894930839539,0.9823156595230103,0.994112491607666,0.9866071343421936,0.2773488461971283,0.05713018774986267,0.3754674792289734,0.9864576458930969,0.9864779114723206,0.9955052733421326
25,0.9904155731201172,0.13903704285621643,0.00020000000949949026,0.04917672276496887,0.37536823749542236,0.49514341354370117,0.4951667785644531,0.4983837902545929,0.9866071939468384,0.27719762921333313,0.05713214725255966,0.3754675090312958,0.9864623546600342,0.9864826798439026,0.9955059885978699
26,0.9872614741325378,0.28359705209732056,4.0000002627493814e-05,0.047974634915590286,0.37543705105781555,0.9870888590812683,0.987108051776886,0.9957128763198853,0.986607015132904,0.2757321298122406,0.057432129979133606,0.3754674792289734,0.986487090587616,0.9865071177482605,0.9955105185508728
